Subject,Accuracy,Kappa
SN001,0.7892271662763466,0.6861383914898831
SN002,0.7955607476635514,0.7294896057554788
SN003,0.749475890985325,0.6749847474926018
SN004,0.7145669291338582,0.5839787188679432
SN005,0.7476538060479666,0.6680569262676106
SN006,0.707852193995381,0.5958466453674122
SN007,0.7843326885880078,0.6951348664160742
SN008,0.7591499409681228,0.6497367775572714
SN009,0.6881243063263041,0.5884687841850924
SN010,0.7738095238095238,0.7025263907009844
SN011,0.6730937773882559,0.546816750592843
SN012,0.7513340448239061,0.6743727841804843
SN013,0.650398406374502,0.5322329517172724
SN015,0.7174163783160323,0.6230347816364885
SN016,0.7913602941176471,0.7024772680181374
SN017,0.7360861759425493,0.6549761076042712
SN018,0.7587006960556845,0.6367769055457078
SN019,0.8369047619047619,0.773440037799368
SN020,0.580168776371308,0.3760827074383116
SN021,0.8043933054393305,0.748560819696341
SN022,0.5449101796407185,0.40412601575653406
SN023,0.8065739570164349,0.7337971567900718
SN024,0.8063010501750292,0.7417648543023156
SN025,0.6828282828282828,0.5718576935737336
SN026,0.8369195922989807,0.7666203524408576
SN027,0.7006880733944955,0.45044670884242044
SN028,0.8070953436807096,0.7476026367377526
SN029,0.6898002103049422,0.5730142640585905
SN030,0.8399621212121212,0.7827300695282283
SN031,0.6326002587322122,0.5263991301684005
SN032,0.24579124579124578,0.08929144354143903
SN033,0.35823754789272033,0.12449433251892494
SN034,0.8399098083427283,0.7755646787977277
SN035,0.6676706827309237,0.5838806053040467
SN036,0.7611386138613861,0.6666509907868579
SN037,0.8385542168674699,0.7629562059352595
SN038,0.7766990291262136,0.6934827404437487
SN039,0.733934611048478,0.6417008137094814
SN040,0.700374531835206,0.6120063293183066
SN041,0.8434886499402628,0.7920303626907625
SN042,0.7965217391304348,0.7241852909071342
SN043,0.650887573964497,0.5304880122428159
SN044,0.8300720906282183,0.7670633391731668
SN045,0.8573426573426574,0.8091462217860648
SN046,0.6469760900140648,0.5439046207319567
SN047,0.8110859728506787,0.7395316340231377
SN048,0.785031847133758,0.7089038744145801
SN049,0.41448189762796506,0.21693372048667936
SN050,0.7521459227467812,0.6554743684528896
SN051,0.7610333692142088,0.6729469786471507
SN052,0.6726013847675568,0.5516515583089716
SN053,0.752127659574468,0.6730620244718344
SN054,0.7269076305220884,0.6355496244000085
SN055,0.7939698492462312,0.7177051040744021
SN056,0.6782307025151778,0.4949681346679229
SN057,0.6817010309278351,0.56909242148333
SN058,0.773117254528122,0.694025168023766
SN059,0.8184019370460048,0.756554270321038
SN060,0.7484076433121019,0.6602967424068362
SN061,0.7180974477958236,0.6436477341163582
SN062,0.625531914893617,0.4713160854893138
SN063,0.7612903225806451,0.6841522822458714
SN065,0.7439846005774784,0.6515005548269948
SN066,0.7019801980198019,0.6049483785873471
SN067,0.6801242236024845,0.5575572519083969
SN068,0.7812128418549346,0.7150931897727837
SN069,0.8507462686567164,0.7803540561482982
SN070,0.7633928571428571,0.672514619883041
SN071,0.4559633027522936,0.25372634592959475
SN072,0.4896030245746692,0.3402481864100273
SN073,0.7721661054994389,0.659559450470646
SN074,0.8414201183431953,0.7804905473099769
SN075,0.8135904499540864,0.7542632410302699
SN076,0.6783114992721979,0.5366635945825526
SN077,0.7540983606557377,0.6770033751292239
SN078,0.7070938215102975,0.5928129327900387
SN079,0.5004476275738585,0.3386745607333844
SN080,0.8177727784026997,0.7268874177208948
SN081,0.6027874564459931,0.39190112213368034
SN082,0.8335570469798658,0.7617524784138152
SN083,0.860165593376265,0.8015234347314769
SN084,0.7625570776255708,0.6648024960263732
SN085,0.7554671968190855,0.6636612965041846
SN086,0.7948350071736011,0.730285785416041
SN087,0.8023952095808383,0.7251854038592727
SN088,0.8320079522862823,0.7733995662958278
SN089,0.6873449131513648,0.6012540809655716
SN090,0.8191841234840133,0.7468446634988495
SN091,0.761968085106383,0.6673618867812626
SN092,0.6355685131195336,0.5106909354663637
SN093,0.6709511568123393,0.558294725963447
SN094,0.68,0.5442178452666093
SN095,0.8120649651972158,0.7170265538371754
SN096,0.9078212290502793,0.8272731260142989
SN097,0.7209523809523809,0.612549053191543
SN098,0.7028571428571428,0.5485063000736281
SN099,0.833530106257379,0.7712200943647429
SN100,0.8209944751381215,0.75170290382785
SN101,0.7997823721436343,0.7373208893086607
SN102,0.5511904761904762,0.33788708453292693
SN103,0.8313008130081301,0.7703100611685298
SN104,0.6842105263157895,0.5741160166988293
SN105,0.8233890214797136,0.7535357790836087
SN106,0.794074074074074,0.6936326530612245
SN107,0.7091633466135459,0.5879302934591397
SN108,0.6417233560090703,0.48900219461082783
SN109,0.6807151979565773,0.5316268519581946
SN110,0.768990634755463,0.6909551560347488
SN111,0.7567316620241411,0.6524038941249368
SN112,0.8136792452830188,0.6862686329513472
SN113,0.7858744394618834,0.7117717615094544
SN114,0.6009852216748769,0.4550425877440095
SN115,0.5822637106184364,0.3461904832938739
SN116,0.7327478042659975,0.6337995659808358
SN117,0.7332457293035479,0.6466892627457438
SN118,0.6917670682730924,0.6089912123661139
SN119,0.7216157205240175,0.5979399543512612
SN120,0.7576875768757687,0.6363019111288739
SN121,0.605724838411819,0.46370159216869633
SN122,0.757396449704142,0.6726310279073899
SN123,0.7503337783711616,0.6731783806739298
SN124,0.6534749034749034,0.5288469212342173
SN125,0.6173044925124792,0.46854851421958554
SN126,0.4292866082603254,0.2495489186405767
SN127,0.6305931321540063,0.4762018086625417
SN128,0.744060475161987,0.6541438222858196
SN129,0.5150462962962963,0.35206185567010306
SN130,0.6984435797665369,0.6019604708327504
SN131,0.809573361082206,0.744482479055941
SN132,0.7252208047105005,0.612743155277345
SN133,0.6311557788944724,0.47596633349358164
SN134,0.7871077184054284,0.7123993399147487
SN136,0.3735632183908046,0.172366393476156
SN137,0.6978484565014031,0.6075949654800126
SN138,0.7723214285714286,0.6715935303005562
SN139,0.8442622950819673,0.790187741843023
SN140,0.7589626239511823,0.6853407221404451
SN141,0.7765258215962442,0.6882073057922808
SN142,0.8270925110132159,0.7731148876842617
SN143,0.7356687898089171,0.6222709990353785
SN144,0.807061790668348,0.7241036649286092
SN145,0.8356687898089172,0.7680217534728586
SN146,0.8101761252446184,0.6995015133442559
SN147,0.7599557522123894,0.6813406020753601
SN148,0.7863741339491916,0.7040781835007102
SN149,0.7949015063731171,0.7201932165388081
SN150,0.8726655348047538,0.7983889370635754
SN151,0.7665876777251185,0.6790186853642575
SN152,0.8108108108108109,0.7491657057226211
SN153,0.7771618625277162,0.6755894973034682
SN154,0.6211365902293121,0.5018064320483527
